已读入:主电机电流								ReadIn_MainMotorCurrent
已读入:润滑油主流量								ReadIn_LubricatingOilMainFlow
已读入:水平轴流量								ReadIn_HorizontalAxisFlow
已读入:进油温度									ReadIn_InletOilTemperature
已读入:油箱温度									ReadIn_FuelTankTemperature
已读入:回油温度									ReadIn_ReturnOilTemperature
状态:中控控制									Status_CentralControl
状态:主油泵运行									Status_MainOilPumpRunning
状态:水平轴油泵运行								Status_HorizontalAxisOilPumpRunning
状态:备用油泵运行								Status_StandbyOilPumpRunning
状态:主轴上升									Status_SpindleUp
状态:主轴下降									Status_SpindleDown
状态:加热器运行									Status_HeaterRunning
状态:油箱液位正常								Status_TheFuelTankLevelIsNormal
状态:主机运行									Status_HostRunning
状态:主机启动									Status_HostStarted
状态:水平轴冷却器运行							Status_HorizontalAxisCoolerRunning
状态:1#冷却器低速运行							Status_1#CoolerRunningAtLowSpeed
状态:2#冷却器低速运行							Status_2#CoolerRunningAtLowSpeed
状态:1#冷却器高速运行							Status_1#CoolerRunningAtHighSpeed
状态:2#冷却器高速运行							Status_2#CoolerRunningAtHighSpeed
报警:电流传感器故障								Alarm_CurrentSensorFailure
报警:流量传感器故障								Alarm_FlowSensorFailure
报警:水平轴流量传感器故障						Alarm_HorizontalAxisFlowSensorFailure
报警:进油温度传感器故障							Alarm_InletOilTemperatureSensorFailure
报警:回油温度传感器故障							Alarm_OilReturnTemperatureSensorFailure
报警:油箱温度传感器故障							Alarm_FuelTankTemperatureSensorFailure
报警:电流监控禁止								Alarm_CurrentMonitoringProhibited
报警:进油温度监控禁止							Alarm_InletOilTemperatureMonitoringProhibited
报警:回油温度监控禁止							Alarm_MonitoringOfOilReturnTemperatureIsProhibited
报警:油箱温度监控禁止							Alarm_FuelTankTemperatureMonitoringProhibited
报警:主流量监控禁止								Alarm_MainFlowMonitoringProhibited
报警:水平流量监控禁止							Alarm_HorizontalFlowMonitoringProhibited
报警:流量低										Alarm_LowFlow
报警:水平流量低									Alarm_LowHorizontalFlow
报警:流量太低停主机								Alarm_TheFlowIsTooLowToStopTheHost
报警:水平轴流量停机								Alarm_HorizontalAxisFlowShutdown
报警:油箱温度低不能启泵							Alarm_TheFuelTankTemperatureIsLowAndThePumpCannotBeStarted
报警:回油温度高									Alarm_HighOilReturnTemperature
报警:回油温度超高停主机							Alarm_StopTheHostWhenTheOilReturnTemperatureIsTooHigh
报警:主油泵过载									Alarm_MainOilPumpOverload
报警:主油泵空开跳闸								Alarm_MainOilPumpAirSwitchTripped
报警:备用油泵过载								Alarm_OverloadOfSpareOilPump
报警:备用油泵空开跳闸							Alarm_StandbyOilPumpCircuitBreakerTripped
报警:水平轴油泵过载								Alarm_HorizontalAxisOilPumpOverload
报警:水平轴油泵空开跳闸							Alarm_HorizontalAxisOilPumpAirSwitchTripped
报警:调整油泵过载								Alarm_AdjustOilPumpOverload
报警:调整油泵空开跳闸							Alarm_AdjustTheOilPumpAirSwitchTrip
报警:水平轴冷却器过载							Alarm_HorizontalAxisCoolerOverload
报警:水平轴冷却器空开跳闸						Alarm_HorizontalAxisCoolerAirSwitchTripped
报警:1#冷却电机过载								Alarm_1#CoolingMotorOverload
报警:1#冷却电机空开跳闸							Alarm_1#CoolingMotorAirSwitchTrip
报警:2#冷却电机过载								Alarm_2#CoolingMotorOverload
报警:2#冷却电机空开跳闸							Alarm_2#CoolingMotorAirSwitchTrip
报警:1#冷却器未运行								Alarm_1#CoolerIsNotRunning
报警:2#冷却器未运行								Alarm_2#CoolerIsNotRunning
报警:主机急停									Alarm_HostEmergencyStop
报警:水平轴油泵未运行							Alarm_TheHorizontalAxisOilPumpIsNotRunning
报警:水平轴冷却器未运行							Alarm_HorizontalAxisCoolerIsNotRunning
报警:动锥下降电磁阀未正常运行					Alarm_TheMovingConeDescendingSolenoidValveIsNotOperatingNormally
报警:调整油泵未正常运行							Alarm_TheAdjustmentOilPumpIsNotOperatingNormally
报警:油箱油位低									Alarm_LowOilLevelInFuelTank
报警:油温低不能启主机							Alarm_LowOilTemperatureCanNotStartTheHost
报警:自耦线圈过热								Alarm_AutoCoilIsOverheated
报警:主机过载									Alarm_HostOverload
报警:主机电流高									Alarm_HostCurrentIsHigh
报警:通讯故障									Alarm_CommunicationFailure
报警:主机故障									Alarm_HostFailure
报警:油站故障									Alarm_PetrolStationFailure
