回油温度输入值										Basic_ReturnOilTemperatureInputValue
油箱温度输入值										Basic_FuelTankTemperatureInputValue
运行转速										    Basic_RunningSpeed
状态:中控控制										Status_CentralControl
状态:主机运行										Status_HostRunning
状态:加热器运行										Status_HeaterRunning
状态:回油指示										Status_OilReturnIndicator
状态:油箱液位										Status_FuelTankLevel
状态:主油泵运行										Status_MainOilPumpRunning
状态:备用油泵运行									Status_StandbyOilPumpRunning
状态:冷却器运行										Status_CoolerRunning
状态:变频器故障										Status_InverterFailure
状态:主机上电										Status_HostPowerOn
状态:变频电机风扇运行								Status_InverterMotorFanRunning
状态:变频电机风扇过载								Status_InverterMotorFanOverload
状态:通讯故障										Status_CommunicationFailure
报警:回油温度传感器故障								Alarm_OilReturnTemperatureSensorFailure
报警:回油异常										Alarm_AbnormalOilReturn
报警:回油温度高										Alarm_HighOilReturnTemperature
报警:回油温度超高停机								Alarm_ShutDownWhenOilReturnTemperatureIsTooHigh
报警:回油温度监控禁止								Alarm_MonitoringOfOilReturnTemperatureIsProhibited
报警:油箱温度传感器故障								Alarm_FuelTankTemperatureSensorFailure
报警:油箱温度低不允许启动油泵						Alarm_LowOilTankTemperatureDoesNotAllowStartingTheOilPump
报警:油箱温度高										Alarm_HighFuelTankTemperature
报警:油箱油位低										Alarm_LowOilLevelInFuelTank
报警:油箱温度监控禁止								Alarm_FuelTankTemperatureMonitoringProhibited
报警:主油泵过载										Alarm_MainOilPumpOverload
报警:主油泵空开跳闸									Alarm_MainOilPumpAirSwitchTripped
报警:备用油泵过载									Alarm_OverloadOfSpareOilPump
报警:备用油泵空开跳闸								Alarm_StandbyOilPumpCircuitBreakerTripped
报警:主机空开跳闸									Alarm_HostAirSwitchTrip
报警:主机急停										Alarm_HostEmergencyStop
报警:变频电机风扇电机过载							Alarm_InverterMotorFanMotorOverload
报警:油站故障										Alarm_PetrolStationFailure
报警:主机故障										Alarm_HostFailure
